Month,Day,1980's Average,1990's Average,2000's Average,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,2,15548902,15020511,14656162,-9999,15045225,14517627,14328229,13927418,14105548,14733116,14657047,14352595,13940958,14597917,14486388,14085173,13798149,13880276,13787843,13736896,13973505
3,3,15530259,15011983,14665261,-9999,15046655,14487738,14313165,13969948,14090896,14714425,14624422,14417939,13939904,14695947,14413498,14126893,13738251,13824457,13813380,13729800,14014896
3,4,15530043,15010772,14669452,-9999,14974494,14472036,14338653,13962215,14119598,14674769,14605621,14487816,13953776,14699717,14346195,14178931,13688997,13789796,13829477,13690835,14030595
3,5,15569642,15009067,14663658,-9999,14910017,14489358,14362270,13977011,14161531,14678203,14630165,14570683,13986978,14641183,14306961,14222704,13664797,13792369,13858609,13629925,14044276
3,6,15526272,15017343,14668582,-9999,14906674,14542557,14396073,13977517,14117223,14697617,14629617,14628476,14055713,14664947,14310915,14255140,13660208,13796993,13878287,13612333,14066521
3,7,15523175,15030038,14670348,-9999,14872253,14600145,14396094,13993394,14066743,14701679,14602865,14642787,14084320,14709086,14357700,14204128,13659416,13858745,13866340,13609296,14093484
3,8,15521543,15031950,14668648,-9999,14867564,14639752,14386909,14041807,14097040,14740184,14514188,14651636,14108351,14606557,14415406,14083339,13649869,13921066,13818836,13628280,14117749
3,9,15509510,15040061,14660963,-9999,14840512,14647827,14383923,14094562,14157809,14774776,14397715,14624650,14081760,14517561,14438968,14015926,13629197,13898483,13770819,13660514,14150474
3,10,15508745,15044281,14661907,-9999,14796811,14701388,14353440,14132380,14197410,14742000,14388141,14600737,14046271,14510422,14469133,14025724,13623768,13855406,13742120,13740450,14194201
3,11,15516866,15029145,14651766,-9999,14788812,14681407,14364817,14130061,14196136,14722875,14364348,14597552,13966372,14574254,14504502,14118547,13648280,13871056,13781624,13780135,14251474
3,12,15538815,15025920,14634152,-9999,14829013,14595539,14372532,14093225,14127125,14737269,14364331,14576683,13927474,14571356,14507780,14233829,13695914,13900558,13847241,13806788,14271121
3,13,15538753,15015090,14617648,-9999,14823850,14461154,14337912,14033550,14082187,14735503,14357029,14586580,13946449,14577896,14502463,14300508,13686416,13872861,13815668,13837866,14224663
3,14,15516079,15005844,14600087,-9999,14824576,14379133,14261290,13946852,14062545,14699188,14363703,14574021,14023787,14571781,14523635,14305537,13686287,13837007,13835579,13853284,14184906
3,15,15484053,14991942,14571819,-9999,14871000,14356777,14203986,13874040,13984351,14642910,14387681,14549416,14077419,14666311,14515044,14329192,13724438,13874820,13818067,13875677,14148530
3,16,15489989,14974321,14549389,-9999,14920898,14366369,14161264,13793641,13923807,14614339,14438209,14578497,14127729,14693084,14481102,14388611,13755789,13881869,13705959,13874375,14093381
3,17,15462634,14958665,14535884,-9999,14964936,14378320,14099099,13777136,13953278,14577607,14453126,14563394,14103571,14680936,14496951,14419194,13720322,13841505,13607502,13891190,14017283
3,18,15434584,14942576,14529956,-9999,15025256,14402336,14047437,13776953,13920784,14584816,14506408,14578071,14018908,14679976,14466557,14437490,13708005,13902527,13556324,13833573,14005938
3,19,15421033,14942277,14510562,-9999,15032460,14399563,13967095,13773179,13828332,14606866,14489925,14557983,13922168,14684086,14433861,14448299,13717193,13894079,13559936,13761282,13996972
3,20,15405578,14937929,14489976,-9999,15036576,14385734,13886862,13774012,13798817,14606284,14418697,14545411,13886537,14660610,14370783,14448416,13705999,13910563,13559152,13713053,14017103
3,21,15391637,14945313,14472686,-9999,15066086,14374684,13844442,13774868,13817518,14574178,14434695,14524826,13843563,14598826,14320881,14408834,13738377,13934154,13540842,13721567,14056522
3,22,15379721,14946146,14457911,-9999,15060359,14306585,13860797,13732415,13881287,14581568,14480626,14485590,13868002,14580823,14296935,14325446,13804766,13926152,13487799,13711450,14001236
3,23,15378066,14945568,14453316,-9999,15017780,14288207,13883165,13691625,13876195,14568359,14511110,14471768,13907241,14570399,14279667,14156064,13834885,13899979,13464033,13684699,13911567
3,24,15355559,14935928,14452277,-9999,15028052,14318151,13885741,13626235,13849118,14526906,14495814,14495070,13943171,14511727,14258791,14079938,13833407,13862037,13463820,13668115,13839873
3,25,15346444,14934417,14444356,-9999,15029415,14379170,13877881,13624051,13902552,14539295,14478688,14548159,13961763,14551367,14279279,14044187,13854379,13823186,13509359,13645538,13756437
3,26,15327143,14920178,14430605,-9999,15006826,14398143,13835745,13642435,13935159,14567704,14471974,14544494,13989664,14446978,14278819,14049815,13879573,13804225,13528354,13663549,13729380
3,27,15283785,14907957,14407275,-9999,14982272,14394437,13828610,13623513,13911435,14552333,14408320,14538277,13964251,14538454,14269566,14014943,13843980,13800077,13542425,13700128,13734954
3,28,15212097,14894980,14371112,-9999,14941412,14327529,13869492,13577008,13857708,14492839,14364481,14578276,13918997,14522357,14263115,13942676,13768370,13780860,13572036,13681496,13702099
3,29,15272523,14890939,14335337,-9999,14898454,14317077,13876762,13585891,13777606,14430112,14308423,14629433,13909849,14536378,14230610,13855013,13717170,13697343,13575600,13674556,13588813
3,30,15263335,14877250,14307405,-9999,14799553,14298083,13879025,13569042,13742342,14398058,14263057,14676136,13923636,14551105,14228134,13848958,13677291,13560921,13567480,13652018,13423101
3,31,15244575,14857052,14273790,-9999,14687712,14271527,13838113,13575600,13714811,14370732,14234871,14688540,13968366,14530807,14222135,13877174,13658140,13496200,13555773,13625158,13375181
4,1,15216776,14828785,14237137,-9999,14670170,14223567,13827984,13610775,13712061,14350528,14194095,14663290,13979155,14506073,14208301,13874338,13638921,13461256,13562063,13586994,13308217
4,2,15194179,14797769,14217016,-9999,14603436,14164659,13815764,13630757,13702257,14350769,14199750,14631573,13960404,14473797,14180865,13857492,13595387,13444757,13569774,13555616,13235128
4,3,15173697,14750890,14195231,-9999,14512060,14146065,13788327,13612650,13682740,14352578,14217181,14576733,13897025,14475148,14123153,13852747,13544795,13447985,13574811,13418227,13199621
4,4,15158269,14705079,14165204,-9999,14454886,14098079,13800877,13581248,13691179,14277545,14187079,14536963,13804858,14400009,14069454,13849934,13504260,13419920,13549488,13387430,13131874
4,5,15132024,14667662,14132913,-9999,14418881,14052330,13789783,13548547,13669367,14218355,14141123,14484771,13795631,14292576,13972156,13889732,13492824,13408667,13448164,13371769,13090953
4,6,15108720,14623340,14096877,-9999,14382737,14000975,13736466,13487446,13626825,14222240,14102148,14461722,13772273,14235937,13963435,13870023,13445888,13352092,13399856,13376062,13012589
4,7,15070144,14590636,14059805,-9999,14370999,13925845,13692322,13418093,13581251,14228491,14067640,14468298,13716982,14213160,13934531,13833873,13409765,13309256,13378503,13358472,12972565
4,8,15042583,14539553,14020701,-9999,14345967,13900370,13675545,13359794,13557577,14206860,14053642,14432701,13703095,14145950,13940516,13784522,13387030,13237712,13386967,13343374,12990137
4,9,14996078,14475265,13981604,-9999,14314094,13843717,13649161,13314368,13522757,14175616,14019704,14367954,13687482,14112020,13960644,13733392,13415661,13151679,13336632,13321482,13005909
4,10,14918019,14410924,13939174,-9999,14289591,13689205,13634594,13307124,13466116,14144327,14014161,14287426,13700525,14097001,13994111,13666289,13432330,13106111,13318904,13281980,13014792
4,11,14902968,14360192,13891127,-9999,14226409,13559823,13610067,13281894,13417675,14119385,14001139,14212176,13695758,14036206,13983948,13628682,13446594,13118881,13250484,13254107,12989958
4,12,14880416,14314016,13846137,-9999,14159363,13432157,13558817,13254428,13363717,14075589,13959725,14153288,13666839,14023911,13928267,13544538,13443962,13168647,13190656,13260267,12945392
4,13,14820779,14263912,13801616,-9999,14087078,13361704,13503041,13263844,13323081,14001677,13904044,14086679,13658417,14042525,13850285,13489773,13443635,13179840,13155325,13255427,12933264
4,14,14772121,14232122,13759161,-9999,14027670,13260878,13496408,13281645,13284802,13911214,13904341,14087966,13637101,14054158,13729976,13475017,13402324,13157670,13120623,13197260,12895918
4,15,14737571,14186661,13720684,-9999,13957258,13190922,13454569,13296888,13234676,13838156,13896746,14067606,13604755,14050530,13644681,13427583,13355159,13134117,13119114,13125342,12821542
4,16,14725516,14142135,13680162,-9999,13902983,13146430,13406471,13283303,13203156,13738334,13878429,14023851,13576927,14066319,13576057,13321362,13362077,13132955,13094044,13052208,12795927
4,17,14688954,14104256,13634512,-9999,13824174,13130899,13399349,13279065,13186766,13631785,13831065,13993301,13528712,14039222,13524791,13255763,13363066,13059136,13069913,12985833,12756648
4,18,14651215,14063313,13604237,-9999,13763230,13089728,13394020,13268464,13189814,13561247,13805650,13981908,13472498,13964426,13477318,13231029,13343616,12996593,13044495,12938678,12693470
4,19,14602939,14020230,13576618,-9999,13728127,13040240,13404022,13259749,13207721,13473716,13797931,13945744,13431817,13988273,13421234,13193343,13325420,12928117,13033695,12888393,12652423
4,20,14555597,13977770,13555412,-9999,13696063,13024968,13392567,13224976,13207915,13416372,13801599,13910992,13381617,13932014,13393564,13177428,13292956,12877955,13000702,12854880,12603699
4,21,14506075,13938871,13530924,-9999,13647310,12995922,13386601,13220513,13163597,13401441,13772945,13897940,13337184,13915441,13404164,13174019,13311231,12837134,12933184,12816110,12594669
4,22,14467546,13899280,13493702,-9999,13639349,12943814,13368743,13206640,13107182,13380748,13723373,13889429,13290431,13849761,13409355,13115859,13302595,12747752,12875995,12808509,12586843
4,23,14427144,13859579,13452675,-9999,13602767,12939768,13329626,13189306,13039003,13329782,13623719,13863454,13257777,13735437,13355209,13097680,13212400,12681673,12827488,12803197,12614573
4,24,14371213,13816669,13402650,-9999,13544339,12938721,13280119,13142786,12988410,13289695,13580394,13789652,13249094,13666921,13255463,13068484,13110194,12633672,12832850,12794137,12622457
4,25,14321691,13767224,13363329,-9999,13473379,12941042,13236331,13038230,12938669,13201922,13559953,13694182,13186097,13560700,13122691,13036431,12998194,12595818,12826358,12761033,12626405
4,26,14270912,13725423,13315058,-9999,13388560,12931501,13171002,12957945,12883329,13189293,13510316,13615650,13115060,13436906,13041164,12978878,12911507,12570405,12810275,12708674,12608257
4,27,14201860,13680911,13271162,-9999,13318387,12875942,13131014,12866276,12854447,13172656,13488081,13580190,13048896,13336421,13022571,12930713,12861198,12498998,12800339,12679541,12563633
4,28,14139308,13625399,13225148,-9999,13228826,12820442,13079273,12782805,12845632,13168402,13448543,13519578,13004982,13290614,12985614,12928262,12815770,12413834,12758153,12641635,12451876
4,29,14076833,13570981,13185084,-9999,13178994,12783431,13037013,12730348,12858981,13139870,13425566,13440753,12950605,13233523,12940357,12928298,12730329,12347980,12713247,12602757,12359667
4,30,14022429,13524322,13147002,-9999,13135364,12738414,13006225,12661451,12845075,13111464,13382121,13376108,12888701,13158711,12890140,12893715,12707016,12293447,12674471,12574787,12305376
5,1,13971383,13480885,13102626,-9999,13098113,12689719,12943026,12558242,12847842,13087032,13359047,13307399,12851721,13052728,12855836,12807168,12664582,12195413,12648560,12556176,12236563
5,2,13930920,13439051,13059422,-9999,13047795,12635290,12887542,12444466,12794117,13067741,13316285,13235941,12784077,13014104,12818197,12744827,12634896,12164312,12585016,12521612,12176248
5,3,13883155,13404624,13012476,-9999,12992870,12598057,12818544,12405456,12741944,13029887,13288522,13127460,12737124,12970852,12813379,12668378,12629396,12144447,12524980,12451489,12117320
5,4,13831312,13353005,12962613,-9999,12948215,12545994,12765423,12320956,12703363,13000877,13282499,13036050,12652461,12897774,12816914,12642907,12588998,12081393,12496944,12373382,12087526
5,5,13777175,13315671,12910566,-9999,12886871,12426122,12718665,12249753,12644684,12973958,13233971,12935651,12633011,12829406,12781239,12614412,12523337,12039085,12492801,12257814,12041650
5,6,13713346,13282587,12857875,-9999,12807556,12319323,12701165,12188126,12606674,12933898,13186485,12867950,12631255,12824640,12741038,12568170,12425110,11986358,12455817,12186110,11976572
5,7,13652139,13249111,12808689,-9999,12707744,12258046,12677521,12168368,12555253,12880379,13128183,12797823,12569427,12812002,12690600,12524861,12390148,11912579,12405466,12115492,11942527
5,8,13600559,13204812,12761507,-9999,12651753,12237189,12646320,12151584,12530269,12822715,13066016,12685074,12497679,12808662,12661204,12469546,12288569,11782166,12323824,12077941,11900579
5,9,13522336,13165086,12711710,-9999,12588472,12208656,12615280,12119386,12469946,12735949,13011209,12619618,12435616,12784548,12638340,12399762,12206146,11683160,12286734,12021992,11861080
5,10,13473343,13114224,12656150,-9999,12545175,12175699,12542852,12084869,12404435,12694184,12944025,12514881,12380708,12673299,12620977,12309090,12112816,11633343,12301918,11933172,11826209
